entidad,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Aguascalientes,817.2957,286.9314,252.8550,114.7206,122.2908,439.9319,135.7841,140.5939,410.5738,337.4852,342.2061,333.1545,236.8052,355.2095,69.1399,978.7988,812.5841,594.8797,1576.3373,1196.9802,452.1234,743.6597,42.1714,598.2992,1379.1586,-89.5803,10510.5802
Baja California,1241.0174,1033.7454,1320.6622,1532.9625,1083.8425,1361.1559,1331.7340,1340.6916,1790.8292,1454.1407,829.5232,1414.8229,766.3223,1018.5190,1290.8265,1223.3444,1167.2723,1567.1304,1678.6270,1631.1502,1183.7281,1195.3901,2222.7262,1873.7478,1475.5937,1082.6329,26207.0185
Baja California Sur,135.0895,173.2408,240.7087,328.2138,148.5143,226.0559,737.6898,591.5703,819.2911,810.4965,449.5263,517.5682,711.2790,720.6296,421.3367,228.7008,352.0143,510.7855,568.9394,443.0643,464.9732,607.8695,1085.0315,818.4784,1141.1187,174.3235,11436.9967
Campeche,30.5189,25.2281,51.5166,190.4928,64.6138,147.8467,119.2987,30.4191,134.5231,150.0526,26.1674,73.2035,24.7976,209.6683,278.4170,218.5743,543.0072,142.1679,328.3460,123.4906,151.8657,209.1451,218.4181,40.2416,74.5222,12.5982,2989.6256
Chiapas,29.8300,43.4786,199.0032,204.8745,111.0191,229.3435,138.1093,89.2562,186.8766,63.2032,91.8816,157.6758,92.8088,121.0917,182.4140,36.5644,270.0756,139.7877,217.0865,70.2205,256.6473,133.1424,157.0403,186.7404,39.8387,9.4184,2501.7702
Chihuahua,631.1802,1376.4272,1068.7881,1366.8171,1105.4492,1446.6476,1542.1183,1948.8181,2267.1597,2625.2331,1424.7110,1847.7805,1218.1120,1186.8945,2311.4499,1936.5797,2524.5171,1986.0653,1825.3116,1241.9446,1406.9941,641.0634,1907.5941,1868.6078,1980.0824,683.0574,32831.9762
Ciudad de México,3640.2849,5310.3446,10219.9069,6501.6912,3510.4112,5560.7298,5984.3645,5671.1303,6931.5427,7724.0654,5254.6439,4064.5640,7507.5965,1337.4531,5835.3329,6126.7814,5909.1571,6750.1405,5106.3105,5836.8989,8777.8819,6993.8290,7162.7673,11122.9121,11199.6409,12042.9937,131355.6420
Coahuila de Zaragoza,475.5335,505.7701,1111.2205,872.1112,794.9565,818.6933,600.0036,608.2775,666.2903,583.0830,381.2103,751.2012,647.1415,539.3667,1804.5789,1625.4618,1367.2243,1209.5844,2672.5441,3290.1917,1492.1086,852.1101,1039.0801,872.6337,921.4437,6.2494,21329.7815
Colima,30.2620,16.1391,93.8113,59.5979,64.7682,154.5115,51.5806,106.5000,118.7008,187.5431,134.8647,264.8389,154.6133,60.4557,167.7874,195.6357,165.3223,-24.2250,132.2201,90.6962,41.3663,92.0659,90.1802,95.0673,57.3767,65.1936,2196.2032
Durango,166.1348,130.3329,286.9324,161.1052,306.1489,-104.6385,70.7559,10.7744,421.6176,488.1321,127.3688,414.0638,228.6193,268.3888,482.4868,155.8836,231.0990,275.9364,131.1132,391.0603,178.5305,496.5417,461.8364,565.5010,377.8293,106.7115,5813.4944
