country,latitude,longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Alemania,51.165691,10.451526,685.7,297.6,731.2,716.5,485.4,450.1,378,774.8,885.7,734.3,306.0,822.7,852.6,1361.4,2096.6,2202.3,1388.4,3108.2,2716.3,3142.9,3814.4,1591.9,2309.7,-34.8,2444.5,1740.1,32258.0
Argentina,-38.416096,-63.616673,3.6,23.1,40.3,66,10.6,11.9,2612.7,278.8,1933.4,202.8,25.1,-8.9,180.4,435.5,72.6,358.6,509.8,293.7,340.5,1089.7,613.7,674.4,-470.9,2322.3,2251.0,840.5,11943.2
Australia,-25.274398,133.775136,6.9,8,1.2,8.4,190.5,7.2,24.1,94.1,135.1,473.9,268.9,13.9,869.3,828.7,347.3,617.6,343.6,270.2,2251.8,671.9,661.2,388.0,254.6,323.1,82.0,41.5,8936.9
Austria,47.516231,14.550072,12.5,9.1,78.6,50.2,32.7,32.5,56.7,177.7,81.2,21.5,-14.7,-5.2,13.8,12.6,18.8,7.3,16.5,73.9,78.0,81.8,83.2,31.6,48.8,-5.0,16.1,0.0,738.0
Bélgica,50.503887,4.469936,-50,61.8,39.2,111.9,47.4,46.4,18,446.0,676.8,812.5,868.0,169.4,375.5,-126.9,13324.1,1275.4,820.2,931.9,1020.1,84.6,1282.7,271.2,1691.3,46.4,760.7,0.0,24730.9
Belice,17.189877,-88.49765,0,0,0,1.2,0.1,0.2,1.1,0.6,0.1,0.1,0.0,0.4,0.0,0.0,16.0,0.0,0.0,2.3,0.3,0.2,-0.9,0.3,0.3,0.0,0.0,0.0,22.2
Brasil,-14.235004,-51.92528,5.3,21.9,19.4,14.2,20.1,41.6,53.8,64.1,206.2,353.0,189.3,199.8,436.1,494.0,192.2,587.3,1145.7,947.0,-199.0,129.1,347.0,513.7,431.7,372.6,491.7,164.4,7065.9
Canadá,56.130366,-106.346771,612.6,575.5,807.5,330,381.3,841.7,601.1,704.0,1954.0,4638.0,2028.1,1960.1,1305.6,1558.4,5341.7,2871.3,1364.5,2575.4,3887.1,4422.0,2207.0,3985.6,2074.2,3167.9,3490.5,1705.1,51240.5
Chile,-35.675147,-71.542969,6.3,4.5,11,35.2,16.5,37.7,38.8,49.2,35.2,27.4,47.1,86.1,64.0,27.6,236.4,29.3,125.6,13.5,16.7,71.1,-1.1,90.6,76.8,221.6,197.9,51.6,1466.8
China,35.86166,104.195397,5.3,11.1,3,1.6,25.6,12,16.7,36.1,28.3,13.6,36.8,10.7,46.7,60.3,5.5,98.9,49.4,78.0,130.9,269.4,86.6,168.0,223.0,569.7,158.7,2.7,2073.6
Colombia,4.570868,-74.297333,-3,12,7,22.5,9.3,38.9,26.9,115.5,512.5,57.4,35.9,54.0,216.9,34.0,4.0,89.3,129.0,158.9,38.6,-9.0,220.8,107.0,78.6,189.9,44.3,11.9,2089.8
Corea,35.907757,127.766922,100.4,82.7,80.4,38.7,259.6,129,133.5,163.1,290.9,791.4,182.6,361.2,499.3,484.0,475.8,587.9,961.6,1117.1,249.5,740.9,192.5,562.9,728.3,687.3,504.4,640.6,10221.3
Costa Rica,9.748917,-83.753428,5,0.4,12.3,-1.1,13.5,2.2,1.8,12.3,17.1,10.4,43.2,42.7,-17.5,37.7,7.0,13.9,0.1,18.8,2.1,-1.3,-17.3,6.1,1.2,9.4,6.2,0.0,192.2
Dinamarca,56.26392,9.501785,91.5,141.3,83.8,97.5,86.7,33,31.7,89.4,79.1,83.5,52.8,14.9,150.2,230.2,135.1,189.1,86.1,69.4,145.1,59.2,238.0,110.5,26.4,-134.3,96.2,92.5,1813.3
Ecuador,-1.831239,-78.183406,3.3,2.1,1.8,0.2,0.7,0.5,2.3,-4.6,1.8,2.7,-1.5,5.9,6.2,8.6,19.0,-4.7,42.0,1.5,0.0,0.4,2.1,0.0,5.2,17.8,5.5,0.0,108.9
El Salvador,13.794185,-88.89653,0,0,0.5,1.4,0.8,0.1,15.5,0.4,0.1,0.9,0.0,1.4,0.0,0.0,0.0,0.3,0.2,0.1,4.4,0.1,4.8,0.2,0.7,0.6,1.0,0.0,15.6
España,40.463667,-3.74922,987.4,3761.5,2877.1,5429.6,1959.9,6527.6,2526.3,2186.3,4170.1,4797.1,2400.3,4340.3,2418.1,-1032.5,221.8,3734.2,4321.6,3451.3,2476.5,4571.5,4437.3,3974.7,4749.6,2146.1,3776.8,350.7,57491.9
EUA,37.09024,-95.712891,7313.9,11924.5,21533.4,13505.1,11124.4,9965.4,14384.5,12767.9,14471.0,11003.2,7388.0,10205.7,13129.9,9102.6,15710.1,10522.3,16887.4,10512.6,15361.8,11290.1,12588.7,9722.9,13754.6,20222.0,13757.3,10615.2,239013.2
Rusia,61.52401,105.318756,0.1,0.1,0.2,0,0.2,0,0.1,0.2,0.0,2.1,0.0,0.0,0.3,0.3,0.5,7.2,0.8,0.2,6.6,62.6,-17.2,1.6,1.0,2.8,10.3,0.4,82.1
Filipinas,12.879721,121.774017,0,0.1,0.1,0,0,0,0,5.5,3.4,0.1,0.1,0.0,69.2,0.0,149.3,0.0,0.0,0.0,1.8,0.8,0.4,0.0,0.3,0.9,4.0,1.3,107.0
Finlandia,61.92411,25.748151,234.9,425,224.5,-4.7,148.5,-43.8,111.6,-50.0,106.9,101.8,-165.1,169.4,17.6,120.2,80.6,23.6,188.8,-110.1,-2.4,67.1,60.4,-42.6,-171.4,-11.7,23.4,0.0,416.1
Francia,46.227638,2.213749,409.3,-2202.1,-68,359.8,742.3,402.6,665.6,183.8,353.0,835.5,635.6,400.1,694.5,892.0,957.5,1139.8,954.3,562.7,662.4,688.1,1067.4,440.6,630.4,813.1,512.9,-1263.6,11160.0
Guatemala,15.783471,-90.230759,3.1,0.4,1,6.9,5.2,15.7,3,0.8,0.3,0.7,8.4,25.4,14.4,11.2,-3.8,0.1,4.2,-1.9,5.5,0.9,1.6,1.1,0.8,48.6,6.7,0.0,125.0
Hong Kong,22.319304,114.169361,35.9,10.5,-42.4,-4.9,27.3,18.8,120.4,61.1,133.4,36.1,25.4,5.0,39.3,34.7,6.6,33.5,28.2,109.4,64.5,109.8,73.1,83.3,16.8,105.6,290.1,115.2,1371.2
India,20.593684,78.96288,0.2,0.3,1.2,0.3,0.1,1.4,2.5,3.7,82.7,7.6,16.7,-39.8,17.3,10.4,6.2,14.9,22.5,27.2,47.7,25.1,39.5,62.2,14.1,-6.7,-61.1,2.1,292.3
Indonesia,-0.789275,113.921327,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,33.5,0.0,0.0,36.5
Irlanda,53.41291,-8.24389,9.1,54.8,39.6,111.3,72.6,1,26.3,243.0,338.1,323.9,409.5,107.1,160.4,163.3,205.9,159.8,230.5,228.6,55.8,203.7,239.1,-80.5,243.1,309.7,214.9,38.9,3794.8
Israel,31.046051,34.851612,0.7,1.2,1.6,3,4.6,14.1,-0.1,2.3,1.4,-63.4,174.9,27.7,9.4,109.8,-11.8,35.6,-11.2,2009.4,14.9,-0.1,-2.3,2.6,40.9,10.3,-7.6,28.1,2371.0
Italia,41.87194,12.56738,69.1,59.6,49.6,49.6,28.8,77.9,106.3,102.2,77.3,152.5,163.0,242.6,430.7,600.6,465.3,444.2,791.0,430.2,768.8,977.8,1382.0,539.2,204.9,82.6,-103.3,-30.0,7721.6
Japón,36.204824,138.252924,1461.2,697.1,456.9,399.5,419.6,888.9,340.8,523.8,736.4,830.3,747.8,1146.9,842.4,2033.9,1635.3,2507.6,2110.3,1953.6,2388.5,2266.0,1698.0,1313.7,1454.4,2303.4,2915.3,1430.0,30837.5
Luxemburgo,49.815273,6.129583,-0.9,42.9,96.2,17.2,-6.1,14.2,-49.3,67.3,1638.7,128.9,58.7,24.9,119.6,19.7,1321.2,5.4,136.1,31.6,15.9,298.5,57.2,41.1,996.5,21.9,23.1,14.3,5020.6
Malasia,4.210484,101.975766,0,0,4,0.4,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-13.0,0.0,81.0,3.0,123.3,209.2,0.0,50.7,0.0,0.0,729.8
Nicaragua,12.865416,-85.207229,0.2,0,0.1,0.1,0,0,6.2,-0.9,0.2,0.0,0.0,0.0,4.4,8.1,6.4,0.0,0.0,0.0,3.5,0.0,25.8,4.2,0.0,0.0,0.0,0.0,57.9
Noruega,60.472024,8.468946,0,0.7,3.5,8.1,26.6,7.3,9.5,5.8,33.7,-6.1,60.4,78.6,243.2,91.5,17.0,30.3,85.5,21.7,46.0,57.8,14.5,9.9,-12.9,129.2,18.3,45.6,970.0
Nueva Zelandia,-40.900557,174.885971,18.5,10.9,4.8,52.8,6.5,3.2,2.2,0.5,0.9,30.6,-8.7,31.1,42.8,-36.9,-4.6,1.7,4.3,1.1,-7.0,4.2,3.5,10.7,22.6,11.1,2.1,0.0,109.9
Países Bajos,52.132633,5.291266,326.5,1006.7,1175.3,456.7,460.1,2903.2,1834,210.6,430.1,279.9,259.7,5475.6,263.1,417.5,1148.8,177.1,1131.6,437.2,131.1,847.1,883.1,628.1,141.4,-116.9,878.4,529.9,14153.7
Panamá,8.537981,-80.782127,18,3.2,27.8,4.1,2.5,-10.5,3.3,33.4,184.1,39.1,15.3,18.3,83.7,80.2,29.8,146.4,5.7,-3.9,12.6,85.4,34.9,44.3,11.3,-6.9,29.2,0.0,856.5
Perú,-9.189967,-75.015152,0.6,3,1.1,1.2,-0.7,13.2,0.5,0.9,3.6,0.5,1.9,2.5,6.6,7.9,1.9,15.2,2.9,6.9,8.3,30.2,9.1,11.1,18.5,22.9,12.8,-8.5,155.3
Polonia,51.919438,19.145136,0,0,0.2,0.5,0.6,1,1.5,0.0,0.2,0.0,0.0,0.5,0.7,0.3,0.0,0.1,-1.2,0.4,5.7,3.2,0.6,14.6,5.5,3.5,3.2,0.0,37.3
